Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Afghanistan,Kabul,2212,1329,3541,37.53%,559,162,721,22.47%
Ägypten,Kairo,24847,3046,27893,10.92%,1498,269,1767,15.22%
Albanien,Tirana,6332,2350,8682,27.07%,399,101,500,20.20%
Algerien,Algier,3918,1558,5476,28.45%,430,149,579,25.73%
Angola,Luanda,2286,1306,3592,36.36%,29,7,36,19.44%
Argentinien,Buenos Aires,216,19,235,8.09%,634,50,684,7.31%
Armenien,Eriwan,8713,872,9585,9.10%,402,89,491,18.13%
Aserbaidschan,Baku,11158,375,11533,3.25%,418,68,486,13.99%
Äthiopien,Addis Abeba,2840,470,3310,14.20%,520,109,629,17.33%
Australien,Canberra,56,5,61,8.20%,51,1,52,1.92%
Australien,Melbourne,608,31,639,4.85%,297,21,318,6.60%
Australien,Sydney,577,39,616,6.33%,387,20,407,4.91%
Australien Gesamt,"",1241,75,1316,5.70%,735,42,777,5.41%
Bahrain,Manama,6861,186,7047,2.64%,39,3,42,7.14%
Bangladesh,Dhaka,2460,324,2784,11.64%,464,144,608,23.68%
Belgien,Brüssel,23,4,27,14.81%,167,44,211,20.85%
Benin,Cotonou,704,126,830,15.18%,68,18,86,20.93%
Bolivien,La Paz,1143,131,1274,10.28%,229,15,244,6.15%
Bosnien und Herzegowin,Sarajewo,17504,2339,19843,11.79%,3963,693,4656,14.88%
Botsuana,Gaborone,764,58,822,7.06%,15,1,16,6.25%
Brasilien,Brasilia,22,12,34,35.29%,44,5,49,10.20%
Brasilien,Porto Alegre,14,2,16,12.50%,279,21,300,7.00%
Brasilien,Recife,23,2,25,8.00%,164,45,209,21.53%
Brasilien,Rio de Janeiro,54,5,59,8.47%,164,43,207,20.77%
Brasilien,Sao Paulo,203,42,245,17.14%,526,69,595,11.60%
Brasilien Gesamt,"",316,63,379,16.62%,1177,183,1360,13.46%
