Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Afghanistan,Kabul,1812,1481,3293,44.97%,693,175,868,20.16%
Ägypten,Kairo,21466,3526,24992,14.11%,1492,347,1839,18.87%
Albanien,Tirana,10838,2633,13471,19.55%,472,151,623,24.24%
Algerien,Algier,5014,1503,6517,23.06%,458,156,614,25.41%
Angola,Luanda,2219,760,2979,25.51%,22,18,40,45.00%
Argentinien,Buenos Aires,209,6,215,2.79%,611,29,640,4.53%
Armenien,Eriwan,7522,1151,8673,13.27%,322,85,407,20.88%
Aserbaidschan,Baku,10322,541,10863,4.98%,344,55,399,13.78%
Äthiopien,Addis Abeba,4107,397,4504,8.81%,473,87,560,15.54%
Australien,Canberra,85,10,95,10.53%,32,14,46,30.43%
Australien,Melbourne,526,13,539,2.41%,283,21,304,6.91%
Australien,Sydney,567,30,597,5.03%,402,20,422,4.74%
Australien Gesamt,"",1178,53,1231,4.31%,717,55,772,7.12%
Bahrain,Manama,5547,129,5676,2.27%,25,6,31,19.35%
Bangladesh,Dhaka,2318,304,2622,11.59%,335,174,509,34.18%
Belgien,Brüssel,7,2,9,22.22%,163,36,199,18.09%
Benin,Cotonou,865,160,1025,15.61%,98,25,123,20.33%
Bolivien,La Paz,1146,52,1198,4.34%,276,14,290,4.83%
Bosnien und Herzegowin,Sarajewo,24406,3053,27459,11.12%,2959,623,3582,17.39%
Botsuana,Gaborone,728,53,781,6.79%,14,2,16,12.50%
Brasilien,Brasilia,41,5,46,10.87%,119,21,140,15.00%
Brasilien,Porto Alegre,13,0,13,0.00%,558,45,603,7.46%
Brasilien,Recife,23,1,24,4.17%,339,67,406,16.50%
Brasilien,Rio de Janeiro,56,5,61,8.20%,412,71,483,14.70%
Brasilien,Sao Paulo,253,38,291,13.06%,913,103,1016,10.14%
Brasilien Gesamt,"",386,49,435,11.26%,2341,307,2648,11.59%
Bulgarien,Sofia,587,21,608,3.45%,51,4,55,7.27%
Burkina Faso,Ouagadougou,803,290,1093,26.53%,133,21,154,13.64%
Chile,Santiago de Chile,190,10,200,5.00%,591,51,642,7.94%
China,Chengdu,4443,707,5150,13.73%,266,60,326,18.40%
