Land,AV-Ort,Schengen gesamt erteilt,Schengen gesamt abgelehnt,Schengen gesamt bearbeitet,Schengen Ablehnungsquote,D gesamt erteilt,D gesamt abgelehnt,D gesamt bearbeitet,D Ablehnungsquote
Afghanistan,Kabul,2253,1427,3680,38.78%,760,198,958,20.67%
Ägypten,Kairo,18321,1598,19919,8.02%,1708,151,1859,8.12%
Albanien,Tirana,95,32,127,25.20%,370,182,552,32.97%
Algerien,Algier,3355,1816,5171,35.12%,442,172,614,28.01%
Angola,Luanda,1530,633,2163,29.26%,33,4,37,10.81%
Argentinien,Buenos Aires,128,13,141,9.22%,692,51,743,6.86%
Armenien,Eriwan,11105,843,11948,7.06%,483,62,545,11.38%
Aserbaidschan,Baku,11411,520,11931,4.36%,514,79,593,13.32%
Äthiopien,Addis Abeba,3119,594,3713,16.00%,560,107,667,16.04%
Australien,Canberra,105,4,109,3.67%,53,4,57,7.02%
Australien,Melbourne,659,40,699,5.72%,330,36,366,9.84%
Australien,Sydney,669,36,705,5.11%,477,38,515,7.38%
Australien Gesamt,"",1433,80,1513,5.29%,860,78,938,8.32%
Bahrain,Manama,5861,170,6031,2.82%,38,9,47,19.15%
Bangladesh,Dhaka,2656,349,3005,11.61%,607,215,822,26.16%
Belgien,Brüssel,16,2,18,11.11%,144,22,166,13.25%
Benin,Cotonou,720,140,860,16.28%,83,19,102,18.63%
Bolivien,La Paz,1070,71,1141,6.22%,215,11,226,4.87%
Bosnien und Herzegowin,Sarajewo,214,13,227,5.73%,4659,954,5613,17.00%
Botsuana,Gaborone,729,41,770,5.32%,25,0,25,0.00%
Brasilien,Brasilia,21,1,22,4.55%,42,2,44,4.55%
Brasilien,Porto Alegre,22,0,22,0.00%,335,25,360,6.94%
Brasilien,Recife,31,1,32,3.13%,147,24,171,14.04%
Brasilien,Rio de Janeiro,66,12,78,15.38%,223,23,246,9.35%
Brasilien,Sao Paulo,194,38,232,16.38%,836,52,888,5.86%
Brasilien Gesamt,"",334,52,386,13.47%,1583,126,1709,7.37%
Bulgarien,Sofia,524,25,549,4.55%,53,2,55,3.64%
Burkina Faso,Ouagadougou,806,320,1126,28.42%,122,27,149,18.12%
Chile,Santiago de Chile,179,11,190,5.79%,678,71,749,9.48%
China,Chengdu,7847,153,8000,1.91%,637,22,659,3.34%
China,Hongkong,1716,15,1731,0.87%,725,23,748,3.07%
China,Kanton,34323,1107,35430,3.12%,1404,138,1542,8.95%
China,Peking,87281,2133,89414,2.39%,7859,496,8355,5.94%
China,Shanghai,79145,5541,84686,6.54%,5365,425,5790,7.34%
China Gesamt,"",210312,8949,219261,4.08%,15990,1104,17094,6.46%
Costa Rica,San José,80,2,82,2.44%,170,19,189,10.05%
Côte d'Ivoire,Abidjan,435,181,616,29.38%,83,66,149,44.30%
Dänemark,Kopenhagen,13,0,13,0.00%,107,13,120,10.83%
Dominikanische Republik,Santo Domingo,2444,595,3039,19.58%,473,116,589,19.69%
Ecuador,Quito,4740,301,5041,5.97%,453,71,524,13.55%
EJR Mazedonien,Skopje,103,15,118,12.71%,1100,411,1511,27.20%
El Salvador,San Salvador,7,0,7,0.00%,30,0,30,0.00%
Estland,Tallinn,5,0,5,0.00%,19,8,27,29.63%
Finnland,Helsinki,1,2,3,66.67%,126,18,144,12.50%
Frankreich,Paris,61,4,65,6.15%,722,101,823,12.27%
Georgien,Tiflis,17368,2129,19497,10.92%,1270,270,1540,17.53%
Ghana,Accra,2918,1216,4134,29.41%,463,225,688,32.70%
Griechenland,Athen,7,2,9,22.22%,90,41,131,31.30%
Großbritannien,London,19110,556,19666,2.83%,722,43,765,5.62%
Großbritannien,Edinburgh,2979,50,3029,1.65%,79,11,90,12.22%
Großbritannien Gesamt,"",22089,606,22695,2.67%,801,54,855,6.32%
Guatemala,Guatemala-Stadt,55,1,56,1.79%,95,9,104,8.65%
Guinea,Conakry,683,902,1585,56.91%,62,38,100,38.00%
Honduras,Tegucigalpa,9,0,9,0.00%,14,1,15,6.67%
Indien,Bangalore,3747,421,4168,10.10%,929,19,948,2.00%
Indien,Chennai,21912,1373,23285,5.90%,6212,714,6926,10.31%
Indien,Kalkutta,7214,72,7286,0.99%,480,12,492,2.44%
Indien,Mumbai,39598,516,40114,1.29%,3086,196,3282,5.97%
Indien,New Delhi,23427,2144,25571,8.38%,2524,599,3123,19.18%
Indien Gesamt,"",95898,4526,100424,4.51%,13231,1540,14771,10.43%
Indonesien,Jakarta,15814,534,16348,3.27%,1985,126,2111,5.97%
Irak,Bagdad,3261,178,3439,5.18%,320,32,352,9.09%
Irak,Erbil,2172,135,2307,5.85%,79,10,89,11.24%
Irak Gesamt,"",5433,313,5746,5.45%,399,42,441,9.52%
Iran,Teheran,39130,9755,48885,19.95%,2527,1008,3535,28.51%
Irland,Dublin,1057,56,1113,5.03%,51,7,58,12.07%
Island,Reykjavik,0,0,0,na,3,0,3,0.00%
Israel,Tel Aviv,572,64,636,10.06%,175,63,238,26.47%
Italien,Rom,89,8,97,8.25%,391,147,538,27.32%
Jamaika,Kingston,1387,118,1505,7.84%,32,5,37,13.51%
Japan,Osaka-Kobe,561,33,594,5.56%,332,13,345,3.77%
Japan,Tokio,899,15,914,1.64%,327,5,332,1.51%
Japan Gesamt,"",1460,48,1508,3.18%,659,18,677,2.66%
Jemen,Sanaa,560,88,648,13.58%,66,39,105,37.14%
Jordanien,Amman,6550,744,7294,10.20%,893,139,1032,13.47%
Kambodscha,Phnom Penh,1005,94,1099,8.55%,63,14,77,18.18%
Kamerun,Jaunde,3031,1174,4205,27.92%,1299,776,2075,37.40%
Kanada,Ottawa,685,32,717,4.46%,327,26,353,7.37%
Kanada,Toronto,1113,38,1151,3.30%,338,16,354,4.52%
Kanada,Vancouver,988,14,1002,1.40%,360,12,372,3.23%
Kanada Gesamt,"",2786,84,2870,2.93%,1025,54,1079,5.00%
Kasachstan,Almaty,17043,273,17316,1.58%,533,59,592,9.97%
Kasachstan,Astana,16256,1315,17571,7.48%,1000,166,1166,14.24%
Kasachstan Gesamt,"",33299,1588,34887,4.55%,1533,225,1758,12.80%
Katar,Doha,18903,124,19027,0.65%,84,3,87,3.45%
Kenia,Nairobi,3993,1141,5134,22.22%,948,345,1293,26.68%
Kirgistan,Bischkek,6015,649,6664,9.74%,606,180,786,22.90%
Kolumbien,Bogota,9860,374,10234,3.65%,1811,101,1912,5.28%
Kongo,Kinshasa,986,661,1647,40.13%,76,70,146,47.95%
Korea DVR,Pjöngjang,287,15,302,4.97%,31,14,45,31.11%
Korea,Seoul,384,39,423,9.22%,1390,116,1506,7.70%
Kosovo,Pristina,13807,4889,18696,26.15%,3499,962,4461,21.56%
Kroatien,Zagreb,5242,145,5387,2.69%,8272,305,8577,3.56%
Kuba,Havanna,2149,433,2582,16.77%,397,61,458,13.32%
