Land,AV-Ort,"Schengen gesamt erteilt","Schengen gesamt abgelehnt","Schengen gesamt zurückgezogen","Schengen gesamt bearbeitet","Schengen Ablehnungsquote","D gesamt erteilt","D gesamt abgelehnt","D gesamt zurückgezogen","D gesamt bearbeitet","D Ablehnungsquote"
Afghanistan,Kabul,1526,1163,41,2730,"42.60%",1956,243,19,2218,"10.96%"
Aegypten,Kairo,30589,1940,85,32614,"5.95%",5419,711,116,6246,"11.38%"
Albanien,Tirana,73,1,1,75,"1.33%",2925,1233,48,4206,"29.32%"
Algerien,Algier,3941,1727,29,5697,"30.31%",626,163,4,793,"20.55%"
Angola,Luanda,959,524,14,1497,"35.00%",40,2,1,43,"4.65%"
Argentinien,Buenos Aires,83,1,2,86,"1.16%",992,28,11,1031,"2.72%"
Armenien,Eriwan,13243,1273,132,14648,"8.69%",854,85,13,952,"8.93%"
Aserbaidschan,Baku,11371,1211,25,12607,"9.61%",777,87,37,901,"9.66%"
Aethiopien,Addis Abeba,2802,630,9,3441,"18.31%",591,56,5,652,"8.59%"
Australien,Canberra,1,0,1,2,"0.00%",27,0,0,27,"0.00%"
Australien,Sydney,33,1,0,34,"2.94%",556,11,17,584,"1.88%"
Gesamt Australien,,34,1,1,36,"2.78%",583,11,17,611,"1.80%"
Bahrain,Manama,7635,85,18,7738,"1.10%",95,13,5,113,"11.50%"
Bangladesch,Dhaka,4097,961,9,5067,"18.97%",686,88,4,778,"11.31%"
Belgien,Bruessel,3,1,1,5,"20.00%",217,27,2,246,"10.98%"
Benin,Cotonou,437,237,15,689,"34.40%",93,26,6,125,"20.80%"
Bolivien,La Paz,1697,36,27,1760,"2.05%",283,10,23,316,"3.16%"
Bosnien und Herzegowina,Sarajewo,190,7,9,206,"3.40%",13705,1146,227,15078,"7.60%"
Botsuana,Gaborone,1310,28,4,1342,"2.09%",22,2,0,24,"8.33%"
Brasilien,Porto Alegre,11,1,0,12,"8.33%",392,19,9,420,"4.52%"
Brasilien,Recife,18,0,2,20,"0.00%",150,5,7,162,"3.09%"
Brasilien,Rio de Janeiro,41,1,0,42,"2.38%",326,12,19,357,"3.36%"
Brasilien,S?o Paulo,125,14,0,139,"10.07%",1085,50,8,1143,"4.37%"
Gesamt Brasilien,,195,16,2,213,"7.51%",1953,86,43,2082,"4.13%"
Bulgarien,Sofia,854,20,4,878,"2.28%",95,7,3,105,"6.67%"
Burkina Faso,Ouagadougou,899,262,8,1169,"22.41%",125,25,4,154,"16.23%"
Chile,Santiago de Chile,107,2,4,113,"1.77%",1250,45,45,1340,"3.36%"
China,Chengdu,17518,797,54,18369,"4.34%",1591,59,19,1669,"3.54%"
China,Hongkong,2180,3,1,2184,"0.14%",970,34,15,1019,"3.34%"
China,Kanton,74123,1483,72,75678,"1.96%",2380,106,14,2500,"4.24%"
China,Peking,119836,6583,141,126560,"5.20%",10787,411,89,11287,"3.64%"
China,Shanghai,154461,2727,103,157291,"1.73%",8289,473,65,8827,"5.36%"
China,Shenyang,17358,355,11,17724,"2.00%",112,5,2,119,"4.20%"
Gesamt China,,385476,11948,382,397806,"3.00%",24129,1088,204,25421,"4.28%"
Costa Rica,San Jose,47,0,3,50,"0.00%",303,10,29,342,"2.92%"
Cote d'lvoire,Abidjan,1105,284,10,1399,"20.30%",150,53,3,206,"25.73%"
Daenemark,Kopenhagen,3,0,0,3,"0.00%",163,12,2,177,"6.78%"
Dominikanische Republik,Santo Domingo,2159,720,4,2883,"24.97%",452,94,3,549,"17.12%"
Ecuador,Quito,4127,605,23,4755,"12.72%",650,57,26,733,"7.78%"
El Salvador,San Salvador,4,0,0,4,"0.00%",43,2,3,48,"4.17%"
Estland,Tallinn,3,0,0,3,"0.00%",36,2,1,39,"5.13%"
Finnland,Helsinki,7,0,0,7,"0.00%",215,3,13,231,"1.30%"
Frankreich,Paris,19,0,0,19,"0.00%",943,5,2,950,"0.53%"
Georgien,Tiflis,16042,561,101,16704,"3.36%",1790,165,18,1973,"8.36%"
Ghana,Accra,3600,1956,7,5563,"35.16%",637,289,68,994,"29.07%"
Griechenland,Athen,3,0,0,3,"0.00%",1204,73,15,1292,"5.65%"
Grossbritannien,Edinburgh,3229,7,85,3321,"0.21%",86,1,12,99,"1.01%"
Grossbritannien,London,23311,282,40,23633,"1.19%",782,23,11,816,"2.82%"
Gesamt Grossbritannien,,26540,289,125,26954,"1.07%",868,24,23,915,"2.62%"
Guatemala,Guatemala-Stadt,87,0,1,88,"0.00%",117,3,5,125,"2.40%"
Guinea,Conakry,1116,1212,33,2361,"51.33%",204,76,0,280,"27.14%"
Honduras,Tegucigalpa,11,0,0,11,"0.00%",42,0,0,42,"0.00%"
Indien,Bangalore,28713,886,25,29624,"2.99%",8262,168,83,8513,"1.97%"
Indien,Chennai,17120,1988,13,19121,"10.40%",5325,256,31,5612,"4.56%"
Indien,Kalkutta,6343,318,8,6669,"4.77%",809,48,26,883,"5.44%"
Indien,Mumbai,46583,2094,163,48840,"4.29%",4525,303,64,4892,"6.19%"
Indien,New Delhi,35630,3638,96,39364,"9.24%",3583,195,59,3837,"5.08%"
Gesamt Indien,,134389,8924,305,143618,"6.21%",22504,970,263,23737,"4.09%"
Indonesien,Jakarta,22603,157,36,22796,"0.69%",3435,206,43,3684,"5.59%"
Irak,Bagdad,3824,798,37,4659,"17.13%",135,14,0,149,"9.40%"
Irak,Erbil,9708,2229,74,12011,"18.56%",1992,351,50,2393,"14.67%"
Gesamt Irak,,13532,3027,111,16670,"18.16%",2127,365,50,2542,"14.36%"
Iran,Teheran,42939,4343,184,47466,"9.15%",4644,779,234,5657,"13.77%"
Irland,Dublin,1250,29,18,1297,"2.24%",76,6,5,87,"6.90%"
Island,Reykjavik,0,0,0,0,na,1,0,1,2,"0.00%"
Israel,Tel Aviv,929,9,35,973,"0.92%",315,28,53,396,"7.07%"
Italien,Rom,39,0,4,43,"0.00%",770,134,16,920,"14.57%"
Jamaika,Kingston,1154,56,7,1217,"4.60%",45,6,1,52,"11.54%"
Japan,Osaka-Kobe,697,26,12,735,"3.54%",372,4,7,383,"1.04%"
Japan,Tokyo,1507,0,8,1515,"0.00%",598,2,15,615,"0.33%"
Gesamt Japan,,2204,26,20,2250,"1.16%",970,6,22,998,"0.60%"
Jordanien,Amman,7253,910,44,8207,"11.09%",7125,634,69,7828,"8.10%"
Kambodscha,Phnom Penh,2057,89,8,2154,"4.13%",85,12,2,99,"12.12%"
Kamerun,Jaunde,2829,1075,26,3930,"27.35%",1310,1380,18,2708,"50.96%"
Kanada,Toronto,1744,18,35,1797,"1.00%",1017,28,32,1077,"2.60%"
Kanada,Vancouver,0,0,0,0,na,0,1,0,1,"100.00%"
Gesamt Kanada,,1744,18,35,1797,"1.00%",1017,29,32,1078,"2.69%"
Kasachstan,Almaty,16226,340,16,16582,"2.05%",891,42,4,937,"4.48%"
Kasachstan,Astana,17901,296,54,18251,"1.62%",2614,111,20,2745,"4.04%"
Gesamt Kasachstan,,34127,636,70,34833,"1.83%",3505,153,24,3682,"4.16%"
Katar,Doha,23010,857,113,23980,"3.57%",184,71,10,265,"26.79%"
Kenia,Nairobi,4755,1033,53,5841,"17.69%",1057,330,9,1396,"23.64%"
Kirgisistan,Bischkek,7391,583,92,8066,"7.23%",500,77,14,591,"13.03%"
Kolumbien,Bogota,92,0,2,94,"0.00%",2495,92,40,2627,"3.50%"
Kongo,Kinshasa,173,1,2,176,"0.57%",109,1,4,114,"0.88%"
Korea,Seoul,584,35,3,622,"5.63%",2842,3,52,2897,"0.10%"
Korea DVR,Pjoengjang,89,17,0,106,"16.04%",5,0,0,5,"0.00%"
Kosovo,Pristina,19849,6760,36,26645,"25.37%",8245,2906,98,11249,"25.83%"
Kroatien,Zagreb,181,2,0,183,"1.09%",52,10,3,65,"15.38%"
Kuba,Havanna,3504,744,7,4255,"17.49%",505,63,5,573,"10.99%"
Kuwait,Kuwait,58778,1790,68,60636,"2.95%",236,173,26,435,"39.77%"
Laos,Vientiane,1369,32,1,1402,"2.28%",30,1,1,32,"3.13%"
Lettland,Riga,2,0,1,3,"0.00%",128,48,3,179,"26.82%"
Libanon,Beirut,8849,1776,24,10649,"16.68%",18301,2219,164,20684,"10.73%"
Litauen,Wilna,0,0,0,0,na,44,8,5,57,"14.04%"
Luxemburg,Luxemburg,1,0,0,1,"0.00%",51,1,1,53,"1.89%"
Malaysia,Kuala Lumpur,658,78,3,739,"10.55%",1207,110,25,1342,"8.20%"
Mali,Bamako,596,201,5,802,"25.06%",44,11,2,57,"19.30%"
Malta,Valletta,1,0,0,1,"0.00%",18,4,2,24,"16.67%"
Marokko,Rabat,12812,1957,22,14791,"13.23%",2835,1259,31,4125,"30.52%"
Mauretanien,Nouakchott,480,155,0,635,"24.41%",45,32,3,80,"40.00%"
Mazedonien,Skopje,67,0,1,68,"0.00%",4328,741,4,5073,"14.61%"
Mexiko,Mexiko-Stadt,269,3,15,287,"1.05%",4272,135,69,4476,"3.02%"
Moldau,Chisinau,280,5,1,286,"1.75%",308,30,10,348,"8.62%"
Mongolei,Ulan Bator,8707,1100,90,9897,"11.11%",407,88,24,519,"16.96%"
